Timestamp,Machine ID,Operator ID,Engine Hours,Fuel Used (L),Load Cycle Time (min),Seatbelt Status,Safety Alert Triggered,Proximity Value (m),Weather,Terrain,Initial Fuel Level (L),Task Start Time,Task End Time,Task Type
2025-05-01 08:00,EXC001,Op101,1659.57,13.2,42,Fastened,No,4.17,Cloudy,Rocky,59.35,08:00,08:42,Leveling
2025-05-01 08:30,EXC003,Op102,1559.03,13.39,44,Fastened,Yes,5.7,Cloudy,Gravel,62.51,08:30,09:14,Transporting
2025-05-01 09:00,EXC003,Op102,1550.72,13.96,33,Unfastened,Yes,6.3,Rainy,Rocky,98.54,09:00,09:33,Leveling
2025-05-01 09:30,EXC003,Op102,1533.31,6.38,53,Fastened,No,7.99,Cloudy,Muddy,60.24,09:30,10:23,Drilling
2025-05-01 10:00,EXC002,Op101,1585.8,7.79,55,Fastened,Yes,0.4,Cloudy,Rocky,89.14,10:00,10:55,Lifting
2025-05-01 10:30,EXC002,Op101,1545.94,9.31,40,Fastened,Yes,3.62,Cloudy,Muddy,89.12,10:30,11:10,Digging
2025-05-01 11:00,EXC003,Op100,1792.25,6.15,43,Unfastened,No,7.43,Sunny,Gravel,51.61,11:00,11:43,Digging
2025-05-01 11:30,EXC003,Op100,1646.08,8.04,27,Fastened,Yes,9.5,Foggy,Rocky,63.13,11:30,11:57,Digging
2025-05-01 12:00,EXC003,Op101,1737.93,14.76,41,Unfastened,Yes,0.03,Sunny,Smooth,63.84,12:00,12:41,Leveling
2025-05-01 12:30,EXC003,Op102,1746.39,6.79,48,Fastened,Yes,4.33,Sunny,Rocky,50.86,12:30,13:18,Drilling
2025-05-01 13:00,EXC002,Op101,1589.24,12.06,50,Unfastened,Yes,3.9,Sunny,Smooth,67.76,13:00,13:50,Transporting
2025-05-01 13:30,EXC003,Op101,1636.38,5.3,46,Fastened,No,2.08,Sunny,Smooth,75.41,13:30,14:16,Drilling
2025-05-01 14:00,EXC001,Op101,1610.99,8.95,24,Unfastened,No,8.79,Sunny,Gravel,89.25,14:00,14:24,Drilling
2025-05-01 14:30,EXC003,Op100,1667.08,7.96,41,Fastened,No,2.91,Rainy,Muddy,74.97,14:30,15:11,Transporting
2025-05-01 15:00,EXC002,Op102,1622.41,13.91,53,Unfastened,No,8.21,Cloudy,Gravel,80.4,15:00,15:53,Digging
2025-05-01 15:30,EXC002,Op102,1706.43,11.35,44,Unfastened,Yes,5.84,Foggy,Muddy,92.59,15:30,16:14,Transporting
2025-05-01 16:00,EXC002,Op101,1771.34,12.74,46,Fastened,No,0.09,Rainy,Smooth,59.2,16:00,16:46,Leveling
2025-05-01 16:30,EXC001,Op102,1682.53,6.44,38,Unfastened,No,7.19,Cloudy,Muddy,79.39,16:30,17:08,Leveling
2025-05-01 17:00,EXC001,Op101,1676.06,12.53,27,Unfastened,No,5.97,Rainy,Gravel,75.09,17:00,17:27,Digging
2025-05-01 17:30,EXC001,Op101,1507.93,13.19,46,Fastened,No,0.72,Rainy,Rocky,65.31,17:30,18:16,Lifting
2025-05-01 18:00,EXC003,Op102,1534.65,9.01,31,Unfastened,No,9.82,Foggy,Smooth,68.54,18:00,18:31,Drilling
2025-05-01 18:30,EXC002,Op101,1629.72,8.15,21,Unfastened,No,4.64,Sunny,Smooth,67.18,18:30,18:51,Leveling
2025-05-01 19:00,EXC003,Op101,1583.05,8.08,57,Fastened,Yes,4.76,Sunny,Muddy,67.12,19:00,19:57,Drilling
2025-05-01 19:30,EXC001,Op102,1749.52,10.98,60,Unfastened,Yes,8.68,Cloudy,Gravel,81.49,19:30,20:30,Digging
2025-05-01 20:00,EXC002,Op101,1515.4,7.06,44,Fastened,No,1.7,Rainy,Gravel,74.56,20:00,20:44,Digging
2025-05-01 20:30,EXC002,Op100,1707.24,6.52,53,Unfastened,Yes,1.4,Rainy,Rocky,54.58,20:30,21:23,Drilling
2025-05-01 21:00,EXC003,Op100,1780.65,6.19,25,Fastened,No,9.06,Cloudy,Smooth,54.04,21:00,21:25,Transporting
2025-05-01 21:30,EXC002,Op100,1595.1,9.12,35,Unfastened,No,6.92,Sunny,Smooth,52.9,21:30,22:05,Lifting
2025-05-01 22:00,EXC003,Op101,1597.65,10.32,20,Fastened,Yes,2.29,Sunny,Smooth,69.14,22:00,22:20,Digging
2025-05-01 22:30,EXC002,Op102,1612.93,11.76,58,Fastened,No,8.22,Sunny,Rocky,85.56,22:30,23:28,Digging
2025-05-01 23:00,EXC001,Op101,1629.23,10.46,28,Fastened,Yes,9.91,Sunny,Muddy,68.08,23:00,23:28,Transporting
2025-05-01 23:30,EXC002,Op101,1762.18,11.73,50,Fastened,No,7.17,Foggy,Gravel,87.79,23:30,00:20,Leveling
2025-05-02 00:00,EXC002,Op100,1557.4,12.22,30,Unfastened,No,0.71,Cloudy,Gravel,87.74,00:00,00:30,Leveling
2025-05-02 00:30,EXC001,Op102,1557.91,9.57,20,Unfastened,No,7.74,Cloudy,Smooth,82.32,00:30,00:50,Drilling
2025-05-02 01:00,EXC002,Op102,1703.26,5.9,58,Unfastened,No,3.71,Cloudy,Gravel,77.32,01:00,01:58,Transporting
